,ort,plz,bundesland,latitude,longitude,demand
642,Neuss,41464,Nordrhein-Westfalen,51.1960552,6.66542862094972,287
643,Neuss,41466,Nordrhein-Westfalen,51.1564781,6.699838240012059,200
644,Neuss,41468,Nordrhein-Westfalen,51.16877085,6.755445270883441,275
645,Neuss,41469,Nordrhein-Westfalen,51.163563,6.736268028378394,233
646,Neuss,41470,Nordrhein-Westfalen,51.13517635,6.7386826378760425,228
647,Neuss,41472,Nordrhein-Westfalen,51.16849190000001,6.652627345717513,254
648,Nideggen,52385,Nordrhein-Westfalen,50.68815245,6.558786670299081,189
649,Niederkassel,53859,Nordrhein-Westfalen,50.77409025,7.074168090204483,214
650,Niederkrüchten,41372,Nordrhein-Westfalen,51.2028546,6.148866430788381,263
651,Niederzier,52382,Nordrhein-Westfalen,50.90133335,6.44710540059289,260
652,Nieheim,33039,Nordrhein-Westfalen,51.80782655,9.082170236685283,229
653,Nordkirchen,59394,Nordrhein-Westfalen,51.730037700000004,7.553991610201027,253
654,Nordwalde,48356,Nordrhein-Westfalen,52.0843469,7.476234772964602,237
655,Nörvenich,52388,Nordrhein-Westfalen,50.7972798,6.6352612056304965,285
656,Nottuln,48301,Nordrhein-Westfalen,51.904653700000004,7.416174500000001,252
657,Nümbrecht,51588,Nordrhein-Westfalen,50.896149,7.533871126042531,159
658,Oberhausen,46045,Nordrhein-Westfalen,51.4751766,6.862093964199655,151
659,Oberhausen,46047,Nordrhein-Westfalen,51.48438295,6.86706375,158
660,Oberhausen,46049,Nordrhein-Westfalen,51.47426925,6.84722945594115,183
661,Oberhausen,46117,Nordrhein-Westfalen,51.5012211,6.888209138495747,220
662,Oberhausen,46119,Nordrhein-Westfalen,51.52662720000001,6.879662303853383,160
663,Oberhausen,46145,Nordrhein-Westfalen,51.54593605,6.86430309428492,252
664,Oberhausen,46147,Nordrhein-Westfalen,51.5590188,6.829529897252288,199
665,Oberhausen,46149,Nordrhein-Westfalen,51.50388735,6.844451014670174,270
666,Ochtrup,48607,Nordrhein-Westfalen,52.20767715,7.189268558475442,248
667,Odenthal,51519,Nordrhein-Westfalen,51.042455100000005,7.143367138766731,219
668,Oelde,59302,Nordrhein-Westfalen,51.8277489,8.149676849236645,226
669,Oer-Erkenschwick,45739,Nordrhein-Westfalen,51.640897,7.2570095389517455,203
670,Oerlinghausen,33813,Nordrhein-Westfalen,51.950386200000004,8.674835349999997,272
671,Olfen,59399,Nordrhein-Westfalen,51.699493200000006,7.383123429329005,241
672,Olpe,57462,Nordrhein-Westfalen,51.02846935,7.852245530789796,276
673,Olsberg,59939,Nordrhein-Westfalen,51.34685770000001,8.488341491462254,173
674,Ostbevern,48346,Nordrhein-Westfalen,52.03654315,7.844960530076916,229
675,Overath,51491,Nordrhein-Westfalen,50.94200395,7.28079846695122,218
676,Paderborn,33098,Nordrhein-Westfalen,51.7059761,8.758516850019213,238
677,Paderborn,33100,Nordrhein-Westfalen,51.72789945,8.776045500000004,183
678,Paderborn,33102,Nordrhein-Westfalen,51.72000945,8.73017856248028,213
679,Paderborn,33104,Nordrhein-Westfalen,51.74190170000001,8.73016395,251
680,Paderborn,33106,Nordrhein-Westfalen,51.7171231,8.718141966999838,284
681,Paderborn,33154,Nordrhein-Westfalen,51.6714885,8.620921673333337,273
682,Paderborn,33161,Nordrhein-Westfalen,51.81169315,8.675947850676778,172
683,Petershagen,32469,Nordrhein-Westfalen,52.37532305000001,8.999220400000002,170
684,Plettenberg,58840,Nordrhein-Westfalen,51.2124009,7.872534637546296,262
685,Porta Westfalica,32457,Nordrhein-Westfalen,52.25264925000001,8.946975182894743,261
686,Preußisch Oldendorf,32361,Nordrhein-Westfalen,52.31256775,8.504347621477791,278
687,Pulheim,50259,Nordrhein-Westfalen,50.9733656,6.768663637657431,228
688,Radevormwald,42477,Nordrhein-Westfalen,51.2295124,7.309571200000005,279
689,Raesfeld,46348,Nordrhein-Westfalen,51.76920385,6.8375960871784525,248
690,Rahden,32369,Nordrhein-Westfalen,52.42936355,8.622630525823928,244
691,Ratingen,40472,Nordrhein-Westfalen,51.2712893,6.8267149793639925,288
692,Ratingen,40878,Nordrhein-Westfalen,51.2955635,6.8465414004560365,159
693,Ratingen,40880,Nordrhein-Westfalen,51.2987806,6.818114431579215,181
694,Ratingen,40882,Nordrhein-Westfalen,51.2990344,6.907473783638756,207
695,Ratingen,40883,Nordrhein-Westfalen,51.32788465,6.900941954858292,240
696,Ratingen,40885,Nordrhein-Westfalen,51.34392155000001,6.849004174613659,238
697,Recke,49509,Nordrhein-Westfalen,52.36181445,7.709045564903164,177
698,Recklinghausen,45657,Nordrhein-Westfalen,51.62573165,7.198478398206968,278
699,Recklinghausen,45659,Nordrhein-Westfalen,51.59557315,7.185535879061987,288
