ort,plz,bundesland,latitude,longitude
Essen,45239,Nordrhein-Westfalen,51.36759415,7.021546832186308
Essen,45257,Nordrhein-Westfalen,51.3864083,7.0882305040962486
Essen,45259,Nordrhein-Westfalen,51.407463050000004,7.073221244085939
Essen,45276,Nordrhein-Westfalen,51.4483666,7.076609051267964
Essen,45277,Nordrhein-Westfalen,51.425020700000005,7.073777370200567
Essen,45279,Nordrhein-Westfalen,51.4449807,7.110832088871714
Essen,45289,Nordrhein-Westfalen,51.4159212,7.118644052695448
Essen,45307,Nordrhein-Westfalen,51.46701885,7.077514523284314
Essen,45309,Nordrhein-Westfalen,51.4783073,7.085197036323649
Essen,45326,Nordrhein-Westfalen,51.4874272,7.007220984183176
Essen,45327,Nordrhein-Westfalen,51.49820185,7.0419142702844795
Essen,45329,Nordrhein-Westfalen,51.51115465,7.013337531754822
Essen,45355,Nordrhein-Westfalen,51.4711157,6.95089061577621
Essen,45356,Nordrhein-Westfalen,51.49046455,6.94180740938533
Essen,45357,Nordrhein-Westfalen,51.48465215,6.928693803814923
Essen,45359,Nordrhein-Westfalen,51.46700335,6.921644115462911
Euskirchen,53879,Nordrhein-Westfalen,50.6483274,6.786374249999998
Euskirchen,53881,Nordrhein-Westfalen,50.66093035,6.8373095996527775
Everswinkel,48351,Nordrhein-Westfalen,51.916768700000006,7.858852219518436
Extertal,32699,Nordrhein-Westfalen,52.107962549999996,9.08245380006215
Finnentrop,57413,Nordrhein-Westfalen,51.170622699999996,7.970990775551471
Frechen,50226,Nordrhein-Westfalen,50.93361715,6.771196495270174
Freudenberg,57258,Nordrhein-Westfalen,50.8967579,7.91698093103681
Fröndenberg/Ruhr,58730,Nordrhein-Westfalen,51.47451565,7.6943573023074805
Gangelt,52538,Nordrhein-Westfalen,51.0372335,5.8840322796695474
Geilenkirchen,52511,Nordrhein-Westfalen,50.981021,6.075810935713234
Geldern,47608,Nordrhein-Westfalen,51.5106326,6.31864168076472
Gelsenkirchen,45879,Nordrhein-Westfalen,51.5056543,7.094944614928006
